KKorgnr,Institution_Navn,"Andel af pæd personale, der er uddannet 2020",Antal uddannede pædagoger,Antal pædagogmedhjælpere (inkl. assistenter),Andre midlertidigt tilknyttede,Samlede pædagoger,Antal børn,Børn pr. voksen (rundet op),Koordinater,kilde:
2241,Grantofte,41%,,,,,22,,,https://pasningogskole.kk.dk/sites/pasningogskole.kk.dk/files/institution/documents/Ryesg%C3%A5rden%20virksomhedsplan%202015_2.pdf
2246,Kong Gurli,57%,,,,,68,,,https://simplyjob.com/78541/koncernservice-og-koncern-it/to-paedagoger-til-kong-gurlis-vuggestue
2247,Mågodtland,57%,,,,,156,,,
2248,Børnegården i Ryesgade,61%,,,,,,,,
2249,Børnehusene ved Skoven,55%,18,16,ja,34,150,5,"55.676826762797674, 12.564490239952184 ",https://boernehusenevedskoven-kk.aula.dk/velkommen/personale-og-ledelse &&&&& https://www.institutioner.dk/koebenhavn/Boernehusene-ved-Skoven
2250,Rosengården,48%,,,,,208,,,https://simplyjob.com/511221/kbenhavns-kommune/paedagoger-til-den-integrerede-institution-rosengrden-en-fantastisk-arbejdsplads-i-hjertet-af-sterbro
2252,Rosenvang,65%,10,5,,15,80,6,"55.66515441282183, 12.538726689955197 ",https://pasningogskole.kk.dk/institution/4000504/vuggestuen
2254,Børneinstitutionen Rosahaven,60%,,,,,,,,
2256,Børnevænget,58%,,,,,120,,,https://simplyjob.com/511170/kbenhavns-kommune/brnevaenget-sger-to-engagerede-uddannede-paedagoger-paedagogmedhjaelpere-til-vuggestuen
2258,Kennedygården - Vuggestue og Børnehave,55%,,,,,,,,
2259,Kong Tumle,47%,,,,20,106,6,,https://kongtumle-kk.aula.dk/sites/kongtumle-kk.aula.dk/files/arkiv/Download_filer/Kong%20Tumles%20l%C3%A6replan%202020_2.pdf
2261,Studsgården,54%,,,,33,188,6,"55.69498913277743, 12.550070589953833 ",https://studsgaarden-kk.aula.dk/velkommen/hvem-er-vi
2289,Stjernen,58%,,,Ja,18,33,2,"55.686658752809294, 12.482259799961097",https://pasningogskole.kk.dk/institution/4000306/vuggestuen
2290,De Syv Have,54%,,,,,,,,
2291,Det Blå Univers,40%,8,4,,12,72,6,,https://detblaaunivers.dk/paedagogik/den-styrkede-laereplan
2299,Månestrålen,70%,,,,,,,,https://pasningogskole.kk.dk/institution/4000536/b-rnehave
2498,Børnejunglen,60%,16,8,,24,132,6,"55.69198262277253, 12.577960039950515 ",https://pasningogskole.kk.dk/institution/4000460/vuggestuen
2499,0-6 års inst. Nordstjernen,53%,3,1,,4,26,7,,https://www.nordstjernen-valby.dk/?page_id=54
2650,Børnehuset 8TALLET,55%,,,,29,168,6,,https://www.ofir.dk/resultat/paedagoger-til-natur-og-udelivsinstitutionen-boernehuset-8tallet-330699765.aspx?jobId=330699765
2865,Barndommens Land,68%,,,,,110,,,https://simplyjob.com/342070/kbenhavns-kommune/paedagog-til-vuggestuen-i-barndommens-land
